product_category,brand,product_name,price,most_exp_product
Earphone,Apple,"AirPods Pro",280,"AirPods Pro"
Earphone,Sony,WF-1000XM4,250,"AirPods Pro"
Earphone,Samsung,"Galaxy Buds Pro",220,"AirPods Pro"
Earphone,Samsung,"Galaxy Buds Live",170,"AirPods Pro"
Headphone,Apple,"AirPods Max",550,"AirPods Max"
Headphone,Sony,WH-1000XM4,400,"AirPods Max"
Headphone,Microsoft,"Surface Headphones 2",250,"AirPods Max"
Laptop,Dell,"XPS 17",2500,"XPS 17"
Laptop,Dell,"XPS 15",2300,"XPS 17"
Laptop,Microsoft,"Surface Laptop 4",2100,"XPS 17"
Laptop,Apple,"MacBook Pro 13",2000,"XPS 17"
Laptop,Dell,"XPS 13",2000,"XPS 17"
Laptop,Apple,"MacBook Air",1200,"XPS 17"
Phone,Samsung,"Galaxy Z Fold 3",1800,"Galaxy Z Fold 3"
Phone,Apple,"iPhone 12 Pro Max",1300,"Galaxy Z Fold 3"
Phone,Samsung,"Galaxy Note 20",1200,"Galaxy Z Fold 3"
Phone,Apple,"iPhone 12 Pro",1100,"Galaxy Z Fold 3"
Phone,Apple,"iPhone 12",1000,"Galaxy Z Fold 3"
Phone,Samsung,"Galaxy Z Flip 3",1000,"Galaxy Z Fold 3"
Phone,Samsung,"Galaxy S21",1000,"Galaxy Z Fold 3"
Phone,OnePlus,"OnePlus 9",800,"Galaxy Z Fold 3"
Phone,Google,"Pixel 5",600,"Galaxy Z Fold 3"
Phone,OnePlus,"OnePlus Nord",300,"Galaxy Z Fold 3"
Smartwatch,Apple,"Apple Watch Series 6",1000,"Apple Watch Series 6"
Smartwatch,Samsung,"Galaxy Watch 4",600,"Apple Watch Series 6"
Smartwatch,Apple,"Apple Watch SE",400,"Apple Watch Series 6"
Smartwatch,OnePlus,"OnePlus Watch",220,"Apple Watch Series 6"
